"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Mon Feb 06 19:29:16 GMT 2023","Mon Feb 06 19:29:16 GMT 2023","238","Wiki Tests","Selenium tests","vznd.selenium.AlertsTest","vznd.selenium.AlertsTest","getAlertText","getAlertText",""
"passed","Mon Feb 06 19:30:03 GMT 2023","Mon Feb 06 19:30:03 GMT 2023","62","Wiki Tests","Selenium tests","vznd.selenium.WindowsTest","vznd.selenium.WindowsTest","takeScreenshotOfAnElement","takeScreenshotOfAnElement",""
"broken","Mon Feb 06 19:30:04 GMT 2023","Mon Feb 06 19:30:09 GMT 2023","5028","Wiki Tests","Selenium tests","vznd.selenium.WindowsTest","vznd.selenium.WindowsTest","waitForCertainAmountOfWindowsToBeOpened","waitForCertainAmountOfWindowsToBeOpened",""
"failed","Mon Feb 06 19:29:59 GMT 2023","Mon Feb 06 19:29:59 GMT 2023","35","Wiki Tests","Selenium tests","vznd.selenium.WindowsTest","vznd.selenium.WindowsTest","executeJavascriptClickOnElement","executeJavascriptClickOnElement",""
"passed","Mon Feb 06 19:30:20 GMT 2023","Mon Feb 06 19:30:20 GMT 2023","23","Wiki Tests","Selenium tests","vznd.selenium.CookiesTest","vznd.selenium.CookiesTest","deleteCookieByCookieObject","deleteCookieByCookieObject",""
"passed","Mon Feb 06 19:30:17 GMT 2023","Mon Feb 06 19:30:17 GMT 2023","18","Wiki Tests","Selenium tests","vznd.selenium.ElementsFindersTest","vznd.selenium.ElementsFindersTest","findAllElementsByTag","findAllElementsByTag",""
"passed","Mon Feb 06 19:30:16 GMT 2023","Mon Feb 06 19:30:16 GMT 2023","134","Wiki Tests","Selenium tests","vznd.selenium.ElementsInteractionsTest","vznd.selenium.ElementsInteractionsTest","sendKeys","sendKeys",""
"unknown","Mon Feb 06 19:29:06 GMT 2023","Mon Feb 06 19:29:06 GMT 2023","0","Wiki Tests","Selenium tests","vznd.selenium.ExplicitWaitTest","vznd.selenium.ExplicitWaitTest","jsReturnsValue","jsReturnsValue",""
"passed","Mon Feb 06 19:30:10 GMT 2023","Mon Feb 06 19:30:10 GMT 2023","17","Wiki Tests","Selenium tests","vznd.selenium.ElementsTraditionalLocatorsTest","vznd.selenium.ElementsTraditionalLocatorsTest","linkText","linkText",""
"unknown","Mon Feb 06 19:29:06 GMT 2023","Mon Feb 06 19:29:06 GMT 2023","0","Wiki Tests","Selenium tests","vznd.selenium.ExplicitWaitTest","vznd.selenium.ExplicitWaitTest","visibilityOfAllElementsArgs","visibilityOfAllElementsArgs",""
"passed","Mon Feb 06 19:30:18 GMT 2023","Mon Feb 06 19:30:18 GMT 2023","36","Wiki Tests","Selenium tests","vznd.selenium.ElementsFindersTest","vznd.selenium.ElementsFindersTest","findFirstElementWithClass","findFirstElementWithClass",""
"passed","Mon Feb 06 19:30:01 GMT 2023","Mon Feb 06 19:30:01 GMT 2023","131","Wiki Tests","Selenium tests","vznd.selenium.WindowsTest","vznd.selenium.WindowsTest","setWindowPosition","setWindowPosition",""
"broken","Mon Feb 06 19:29:15 GMT 2023","Mon Feb 06 19:29:16 GMT 2023","229","Wiki Tests","Selenium tests","vznd.selenium.AlertsTest","vznd.selenium.AlertsTest","enterInfoIntoPrompt","enterInfoIntoPrompt",""
"passed","Mon Feb 06 19:31:24 GMT 2023","Mon Feb 06 19:31:24 GMT 2023","77","Wiki Tests","Selenium tests","vznd.selenium.ExplicitWaitTest","vznd.selenium.ExplicitWaitTest","or","or",""
"passed","Mon Feb 06 19:30:20 GMT 2023","Mon Feb 06 19:30:20 GMT 2023","15","Wiki Tests","Selenium tests","vznd.selenium.CookiesTest","vznd.selenium.CookiesTest","deleteAllCookies","deleteAllCookies",""
